criticality_rank,nearest_pharmacy_id,n_grid_squares,population_served,mean_dist_to_1st_km,mean_dist_to_2nd_km,mean_extra_distance_km,max_extra_distance_km,person_km_impact,namn,kommun,lan,lat,long
148,562,228,6683,4.112147173040554,13.950480938281046,9.83833376524049,14.768085493642573,65749.58455310219,Kronans Apotek Bjärnum,Hässleholms kommun,Skåne,56.29119905502285,13.710693145289978
149,271,75,14175,1.6986379186696308,6.267488632230694,4.568850713561064,5.974290235359032,64763.458864728076,"Apoteksgruppen Bro, Bro centrum",Upplands-Bro kommun,Stockholms,59.51567077759849,17.643121861005945
150,54,192,3644,7.462076348985492,25.123980911797677,17.661904562812182,26.701508134508934,64359.980226887594,Apotek Hjärtat Boliden,Skellefteå kommun,Västerbottens,64.86170316990437,20.384907753186226
151,600,272,11268,4.751238197860287,10.35971110886272,5.608472911002433,9.47738190317065,63196.272761175416,"Kronans Apotek Fristad, Tärnavägen",Borås kommun,Västra Götalands,57.826776537394636,13.010817554601608
152,154,238,7305,6.142732660490342,14.75046207238743,8.607729411897088,13.851729379785237,62879.46335390823,Apotek Hjärtat Rottne,Växjö kommun,Kronobergs,57.02299597464274,14.89110594913487
153,434,226,5883,7.520712109816847,18.137676847518755,10.61696473770191,19.57965481400785,62459.603551900334,Apoteket Malen,Högsby kommun,Kalmar,57.164896947186435,16.02649558566223
154,106,324,17738,5.285878307189818,8.804940549099117,3.5190622419092983,5.496296541913223,62421.126046987134,Apotek Hjärtat Laholm,Laholms kommun,Hallands,56.51330319534759,13.043975523446822
155,1320,118,10913,3.514003745991447,9.17310302167741,5.659099275685963,9.503434234760649,61757.75039556091,Apotek Veberöd,Lunds kommun,Skåne,55.63547414209127,13.49153948175044
156,50,283,3632,14.246234106097376,31.21649999007698,16.970265883979604,26.570713270507774,61636.005690613914,Apotek Hjärtat Bjurholm,Bjurholms kommun,Västerbottens,63.929899532004704,19.211901778399373
157,159,176,3979,4.714925152157513,19.906762405119952,15.191837252962438,19.98693904066418,60448.32042953754,Apotek Hjärtat Vårdcentralen Skinnskatteberg,Skinnskattebergs kommun,Västmanlands,59.827697760204984,15.686698696849808
158,694,231,7616,6.121765091060532,14.034327172744536,7.912562081684003,13.768956100344473,60262.07281410537,Kronans Apotek Borensberg Vårdcentral,Motala kommun,Östergötlands,58.56199602600633,15.277293905509618
159,511,262,7950,5.367486713058444,12.906190162117067,7.538703449058621,11.36047356562036,59932.69242001604,"Apoteksgruppen Jämjö, Hammarbyvägen",Karlskrona kommun,Blekinge,56.18920274265322,15.833103108447885
160,747,141,3932,3.0028087940423887,18.24414937639643,15.24134058235404,19.4637483216758,59928.951169816086,Kronans Apotek Kopparberg,Ljusnarsbergs kommun,Örebro,59.8749965004637,14.991301702533406
161,259,210,9811,5.495436834517078,11.599033085625809,6.103596251108731,14.60364769818367,59882.382819627754,"Apoteksgruppen Getinge, Doktorsgatan",Halmstads kommun,Hallands,56.81610440466076,12.735204425940125
162,597,309,7931,7.60019936290406,15.124110565925024,7.523911203020963,10.969398290745394,59672.13975115926,Apoteket Tjädern,Hylte kommun,Hallands,56.99970175867278,13.240004719663487
163,56,237,6199,4.379358156615382,13.879557974814071,9.500199818198691,14.847545896737282,58891.738673013686,Apotek Hjärtat Boxholm,Boxholms kommun,Östergötlands,58.196959913569934,15.055491018221755
164,1226,161,11585,2.9987003137883024,8.027219937777307,5.028519623989005,6.588153900970256,58255.39984391262,Apotek Hjärtat ICA Maxi Bromölla,Bromölla kommun,Skåne,56.06678669257963,14.479359870413656
165,300,209,8681,3.8615671811636276,10.547477647707973,6.685910466544344,8.546480654812767,58040.38876007145,"Apoteksgruppen Vaggeryd, Järnvägsgatan",Vaggeryds kommun,Jönköpings,57.4983963530017,14.148659618104656
166,826,337,5949,7.242838915660573,16.96657409165006,9.723735175989487,14.035750448988727,57846.50056196146,Kronans Apotek Vislanda,Alvesta kommun,Kronobergs,56.786576075710094,14.451852115038562
167,232,185,2872,11.885688575494,32.01748843465376,20.131799859159752,31.696632210085742,57818.52919550681,Apoteket Björnen,Strömsunds kommun,Jämtlands,63.582695688529846,15.351207845220715
